,Authority,variable,Issues,Stock,legend
347,Leicester,Children's Talking Book,1079.000000155,343.999999882,Others
348,Leicester,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",8213.999998973999,22952.000000776,Others
349,Leicestershire,Adult Fiction,593704.99997292,182436.00002628003,Others
350,Leicestershire,Adult Non-Fiction,147993.00000078,84642.99998220001,Others
351,Leicestershire,Children's Fiction,688328.99997312,194347.99999164,Others
352,Leicestershire,Children's Non-Fiction,87843.00001686001,42239.999998482,Others
353,Leicestershire,Adult Talking Book,24767.999998500003,13368.999998112002,Others
354,Leicestershire,Children's Talking Book,6504.9999996828,2812.9999996824004,Others
355,Leicestershire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",12466.000002654,10014.000002490002,Others
356,Lewisham,Adult Fiction,109233.99998500002,75195.0000109,Others
357,Lewisham,Adult Non-Fiction,73339.99999436,56637.99999176,Others
358,Lewisham,Children's Fiction,275298.00000846,85683.00001228,Others
359,Lewisham,Children's Non-Fiction,58540.00000046,28884.999998932002,Others
360,Lewisham,Adult Talking Book,8348.999998966001,3649.9999997560003,Others
361,Lewisham,Children's Talking Book,979.0000000242001,887.9999999398001,Others
362,Lewisham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",2112.9999998998,6082.999999714,Others
363,Lincolnshire,Adult Fiction,997791.0002280001,199564.99999744003,Others
364,Lincolnshire,Adult Non-Fiction,293790.00003364,129188.99997344,Others
365,Lincolnshire,Children's Fiction,434696.99996448,128988.00001340001,Others
366,Lincolnshire,Children's Non-Fiction,63653.99999657601,30527.999996251998,Others
367,Lincolnshire,Adult Talking Book,59669.00000296401,13332.999998296,Others
368,Lincolnshire,Children's Talking Book,5334.999999824,2803.9999999396,Others
369,Lincolnshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",25003.999996624003,18815.999999940002,Others
370,Liverpool,Adult Fiction,350878.00000560004,142241.999988,Others
371,Liverpool,Adult Non-Fiction,150147.999984,159029.00001720001,Others
372,Liverpool,Children's Fiction,148827.00000479998,42860.999999880005,Others
373,Liverpool,Children's Non-Fiction,25753.00000218,29211.000001980003,Others
374,Liverpool,Adult Talking Book,89225.00001660001,13935.99999852,Outlier
375,Liverpool,Children's Talking Book,32003.999999519998,2382.999999876,Outlier
376,Liverpool,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",7733.0000001,11571.00000048,Others
377,Luton,Adult Fiction,130837.00001032,46044.99999115,Others
378,Luton,Adult Non-Fiction,61998.000004090005,22943.99999696,Others
379,Luton,Children's Fiction,168133.00000734,32781.99999848,Others
380,Luton,Children's Non-Fiction,36616.99999977,15150.999999861999,Others
381,Luton,Adult Talking Book,14232.999999091999,6782.99999977,Others
382,Luton,Children's Talking Book,1035.9999999409,673.9999999849999,Others
383,Luton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1709.0000000467,1393.0000000746,Others
384,Manchester,Adult Fiction,281546.99998907995,211456.00001681998,Others
385,Manchester,Adult Non-Fiction,264019.000017,277153.00002032996,Others
386,Manchester,Children's Fiction,371766.99999456,205329.99999404998,Others
387,Manchester,Children's Non-Fiction,58570.99999437,58526.00001627,Others
388,Manchester,Adult Talking Book,21058.999998981,13974.999998889,Others
389,Manchester,Children's Talking Book,2103.0000001422,5341.9999998396,Others
390,Manchester,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",12194.000000661,36261.999998604,Others
391,Medway,Adult Fiction,237450.00000358,60043.999988840005,Others
392,Medway,Adult Non-Fiction,75047.00000098,35682.000011280004,Others
393,Medway,Children's Fiction,392482.00004300004,94645.99999582,Others
394,Medway,Children's Non-Fiction,121726.00000974,23291.99999987,Outlier
395,Medway,Adult Talking Book,6713.999999336001,3265.000000024,Others
396,Medway,Children's Talking Book,1125.9999999430001,664.9999998978,Others
397,Medway,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",8218.000000784,3966.9999986400003,Others
398,Merton,Adult Fiction,125357.00000565,44168.00000935,Others
399,Merton,Adult Non-Fiction,122445.00000880001,59225.999998549996,Others
400,Merton,Children's Fiction,298465.000085,51947.9999899,Others
401,Merton,Children's Non-Fiction,47112.00001025,21344.999993100002,Others
402,Merton,Adult Talking Book,3028.999999655,2619.00000068,Others
403,Merton,Children's Talking Book,1141.0000000385,541.0000000929999,Others
404,Merton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1515.999999927,2166.00000078,Others
405,Newcastle upon Tyne,Adult Fiction,140779.00000844,65105.999987999996,Others
406,Newcastle upon Tyne,Adult Non-Fiction,100255.00000623999,94948.99999696,Others
407,Newcastle upon Tyne,Children's Fiction,81412.00000248,36901.000000680004,Others
408,Newcastle upon Tyne,Children's Non-Fiction,7994.999999788,8243.000000676,Others
409,Newcastle upon Tyne,Adult Talking Book,8151.000001128001,5015.000001132,Others
410,Newcastle upon Tyne,Children's Talking Book,25.000000094400004,138.9999999556,Others
411,Newcastle upon Tyne,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",11292.000001264001,4521.9999994400005,Others
412,Newham,Adult Fiction,124997.99998752002,75344.00000853001,Others
413,Newham,Adult Non-Fiction,103264.0000161,47756.99999532,Others
414,Newham,Children's Fiction,373454.99998290004,80099.99998704,Others
415,Newham,Children's Non-Fiction,49861.00001652,17926.999999062,Others
416,Newham,Adult Talking Book,2410.9999998744,1902.0000000771,Others
417,Newham,Children's Talking Book,163.00000006620002,153.0000000903,Others
418,Newham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",8229.999998880001,5036.999998701001,Others
419,Norfolk,Adult Fiction,1611646.0001537998,253207.99998174,Others
420,Norfolk,Adult Non-Fiction,715218.0000417599,226381.000038,Others
421,Norfolk,Children's Fiction,1314229.0001309998,225101.00004083998,Others
422,Norfolk,Children's Non-Fiction,237441.99999204002,59521.999996446,Others
423,Norfolk,Adult Talking Book,60556.999997412,18871.000001676,Others
424,Norfolk,Children's Talking Book,33279.000002616,6422.0000004462,Outlier
425,Norfolk,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",78854.00000177999,35612.00000439,Others
426,North East Lincolnshire,Adult Fiction,140044.00000332,56818.999995239996,Others
427,North East Lincolnshire,Adult Non-Fiction,31218.000006479997,35841.00000432,Others
428,North East Lincolnshire,Children's Fiction,38333.00000628,17501.0000046,Others
429,North East Lincolnshire,Children's Non-Fiction,7270.00000062,6807.000000024001,Others
430,North East Lincolnshire,Adult Talking Book,9707.000000796,6871.999999956,Others
431,North East Lincolnshire,Children's Talking Book,381.99999995639996,803.0000000316,Others
432,North East Lincolnshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1829.0000000999999,6181.0000007280005,Others
433,North Somerset,Adult Fiction,269999.00010269997,44435.00000907,Others
434,North Somerset,Adult Non-Fiction,106086.99999573,35041.00000203,Others
435,North Somerset,Children's Fiction,230695.9999461,36716.00000661,Others
436,North Somerset,Children's Non-Fiction,33633.99999216,10695.999999447,Others
437,North Somerset,Adult Talking Book,13208.999999814,4194.000000045,Others
438,North Somerset,Children's Talking Book,5265.000000495,1716.9999999498,Others
439,North Somerset,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",7657.000000055999,4960.000000880999,Others
440,North Tyneside,Adult Fiction,253812.00003390003,78291.00000414,Others
441,North Tyneside,Adult Non-Fiction,73102.99999463999,76793.00000526001,Others
442,North Tyneside,Children's Fiction,108330.00000669,78330.00000672,Others
443,North Tyneside,Children's Non-Fiction,35455.999990950004,49307.00000688,Others
444,North Tyneside,Adult Talking Book,10833.999999669,5646.999999564,Others
445,North Tyneside,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",8553.000000006,6334.000000713,Others
446,North Yorkshire,Adult Fiction,929749.9999459,186701.00001896,Others
447,North Yorkshire,Adult Non-Fiction,293600.99999125005,97974.99997137999,Others
448,North Yorkshire,Children's Fiction,552955.9999994801,125350.00002819001,Others
449,North Yorkshire,Children's Non-Fiction,78911.9999822,27311.999997975,Others
450,North Yorkshire,Adult Talking Book,53363.999999821,16401.000002254,Others
451,North Yorkshire,Children's Talking Book,4420.0000001269,1664.9999998737,Others
452,North Yorkshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",26155.999999682,11209.999998771,Others
453,Northamptonshire,Adult Fiction,521455.00000626,165038.99996691,Others
454,Northamptonshire,Adult Non-Fiction,176173.00003224,145605.00001112997,Others
455,Northamptonshire,Children's Fiction,536332.9999798799,167976.99998649,Others
456,Northamptonshire,Children's Non-Fiction,82984.00001778,52400.000002599,Others
457,Northamptonshire,Adult Talking Book,14842.99999836,16843.000003002,Others
458,Northamptonshire,Children's Talking Book,983.9999999636999,1567.0000000287,Others
459,Northamptonshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3760.0000002899997,16921.999997739,Others
460,Nottingham,Adult Fiction,174929.9999835,99487.00001476,Others
461,Nottingham,Adult Non-Fiction,133915.99998738,239436.99999142,Others
462,Nottingham,Children's Fiction,205434.99999625998,79695.00000679,Others
463,Nottingham,Children's Non-Fiction,30953.000001335997,21197.999998748997,Others
464,Nottingham,Adult Talking Book,10723.000001205999,6874.99999946,Others
465,Nottingham,Children's Talking Book,1775.9999999864,1558.9999998606,Others
466,Nottingham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",4237.000000149,15212.000001587,Others
467,Nottinghamshire,Adult Fiction,1035097.9996258002,278954.99997684004,Others
468,Nottinghamshire,Adult Non-Fiction,408303.99998928,198550.00003652,Others
469,Nottinghamshire,Children's Fiction,853032.0001072,222310.99997970002,Others
470,Nottinghamshire,Children's Non-Fiction,146227.00003354,69046.000000582,Others
471,Nottinghamshire,Adult Talking Book,61376.99999909801,18202.999998356,Others
472,Nottinghamshire,Children's Talking Book,10821.000002284001,4921.999999967,Others
473,Nottinghamshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",11248.999997600002,12906.99999718,Others
474,Oldham,Adult Fiction,169796.99999248,85463.9999984,Others
475,Oldham,Adult Non-Fiction,68277.00000275,58654.0000092,Others
476,Oldham,Children's Fiction,123700.99998955001,58810.00000162,Others
477,Oldham,Children's Non-Fiction,22923.999999525997,17521.000001064,Others
478,Oldham,Adult Talking Book,6374.000000585999,4420.000000204,Others
479,Oldham,Children's Talking Book,300.0000000868,455.000000021,Others
480,Oldham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",813.000000074,2181.9999999548,Others
481,Oxfordshire,Adult Fiction,784314.9999584,182144.00001108,Others
482,Oxfordshire,Adult Non-Fiction,462397.00001722004,268113.99999645003,Others
483,Oxfordshire,Children's Fiction,929342.0000246001,190570.0000038,Others
484,Oxfordshire,Children's Non-Fiction,176297.00000986003,53092.999999907006,Others
485,Oxfordshire,Adult Talking Book,16897.000002261,10703.999998979001,Others
486,Oxfordshire,Children's Talking Book,3849.9999997023006,2578.0000001183002,Others
487,Oxfordshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",30355.000002819004,24271.999999153,Others
488,Peterborough,Adult Fiction,149257.99999131,105573.00000870001,Others
489,Peterborough,Adult Non-Fiction,45860.000009460004,45265.00000351,Others
490,Peterborough,Children's Fiction,151801.00000331,79745.00000712,Others
491,Peterborough,Children's Non-Fiction,22414.99999907,13247.999999472002,Others
492,Peterborough,Adult Talking Book,9303.000000091,6483.000000995001,Others
493,Peterborough,Children's Talking Book,643.000000055,723.9999999946001,Others
494,Peterborough,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3035.9999998790004,4862.000000935001,Others
495,Plymouth,Adult Fiction,240104.99999322003,64993.99999897001,Others
496,Plymouth,Adult Non-Fiction,92513.9999908,58235.999995980004,Others
497,Plymouth,Children's Fiction,227764.99999115002,63376.99999687,Others
498,Plymouth,Children's Non-Fiction,34256.999992410005,18149.999999608,Others
499,Plymouth,Adult Talking Book,13746.000000424001,3207.000000727,Others
500,Plymouth,Children's Talking Book,1022.0000000406001,648.0000000042,Others
501,Plymouth,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1163.0000001216001,1258.0000000033,Others
502,Portsmouth,Adult Fiction,151085.00000657,69769.00000945,Others
503,Portsmouth,Adult Non-Fiction,62744.999999429994,80946.00000522,Others
504,Portsmouth,Children's Fiction,134632.99999037,79929.00000309,Others
505,Portsmouth,Children's Non-Fiction,18685.999999877,20014.999998952,Others
506,Portsmouth,Adult Talking Book,10830.999999337,4676.999999602,Others
507,Portsmouth,Children's Talking Book,1036.0000000994,1255.0000000503,Others
508,Portsmouth,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3038.000000518,12938.999999828,Others
509,Reading,Adult Fiction,128643.99999898001,56652.999999440006,Others
510,Reading,Adult Non-Fiction,89722.99999974,66218.99999938,Others
511,Reading,Children's Fiction,164109.999993,47151.99999440001,Others
512,Reading,Children's Non-Fiction,25046.0000001,9625.999999464002,Others
513,Reading,Adult Talking Book,3688.9999998040003,5887.000000596,Others
514,Reading,Children's Talking Book,1380.0000000544003,609.0000000226,Others
515,Reading,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1818.999999538,4731.999999242001,Others
516,Redbridge,Adult Fiction,249211.99998547998,95069.00000975998,Comparitor authority
517,Redbridge,Adult Non-Fiction,193507.99998544,101203.9999978,Comparitor authority
518,Redbridge,Children's Fiction,668065.9999607999,82986.99999855999,Outlier
519,Redbridge,Children's Non-Fiction,129182.00000187999,25606.000000364,Outlier
520,Redbridge,Adult Talking Book,4302.000000843999,3786.9999997759996,Comparitor authority
521,Redbridge,Children's Talking Book,363.99999986,652.0000000276,Comparitor authority
522,Redbridge,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3672.999998864,10512.999998647998,Comparitor authority
523,Richmond-upon-Thames,Adult Fiction,276968.000034,51124.9999986,Others
524,Richmond-upon-Thames,Adult Non-Fiction,217592.99991,69435.0000036,Outlier
525,Richmond-upon-Thames,Children's Fiction,473176.999944,83510.0000064,Outlier
526,Richmond-upon-Thames,Children's Non-Fiction,70741.0000044,22221.9999936,Others
527,Richmond-upon-Thames,Adult Talking Book,12311.99999964,3716.00000046,Others
528,Richmond-upon-Thames,Children's Talking Book,5542.00000002,1983.00000096,Others
529,Richmond-upon-Thames,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",18322.00000092,20528.0000046,Others
530,Rochdale,Adult Fiction,138655.99999776002,70204.9999936,Others
531,Rochdale,Adult Non-Fiction,79587.99999328,52831.99999232,Others
532,Rochdale,Children's Fiction,124798.99999247999,55981.000000800006,Others
533,Rochdale,Children's Non-Fiction,15050.000000144,14813.000000592001,Others
534,Rochdale,Adult Talking Book,12074.000001040002,4611.999999568,Others
535,Rochdale,Children's Talking Book,159.0000000992,75.0000000384,Others
536,Rochdale,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1328.9999998976,110.9999999056,Others
537,Rotherham,Adult Fiction,225985.99999595995,158072.99999943998,Others
538,Rotherham,Adult Non-Fiction,54646.99999915999,52154.99999991999,Others
539,Rotherham,Children's Fiction,124619.00000107998,47789.00001122,Others
540,Rotherham,Children's Non-Fiction,17437.999998681997,16062.999998849999,Others
541,Rotherham,Adult Talking Book,12885.000000683998,12302.999998739999,Others
542,Rotherham,Children's Talking Book,551.0000000619999,1024.9999999954,Others
543,Rotherham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1601.0000001025999,10316.999999055999,Others
544,Rutland,Adult Fiction,69596.9999886,13765.999998869998,Others
545,Rutland,Adult Non-Fiction,21159.00000081,8815.00000017,Others
546,Rutland,Children's Fiction,48530.0000073,16062.999998639998,Others
547,Rutland,Children's Non-Fiction,8848.0000014,5206.99999869,Others
548,Rutland,Adult Talking Book,5976.0000003899995,1221.000000024,Outlier
549,Rutland,Children's Talking Book,1201.999999872,474.99999981,Others
550,Rutland,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",2571.000000177,1639.999999911,Others
551,Salford,Adult Fiction,173265.99999808,68100.0000104,Others
552,Salford,Adult Non-Fiction,54908.00000628,28913.0000006,Others
553,Salford,Children's Fiction,185825.99999844,69865.99999388,Others
554,Salford,Children's Non-Fiction,21869.999999304004,12564.000000220001,Others
555,Salford,Adult Talking Book,29089.999997640003,9646.000000124,Others
556,Salford,Children's Talking Book,516.000000056,393.00000009080003,Others
557,Salford,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",195.0000000332,116.9999999164,Others
558,Sandwell,Adult Fiction,279994.9999923,132646.00000725,Others
559,Sandwell,Adult Non-Fiction,95417.9999919,74280.9999996,Others
560,Sandwell,Children's Fiction,308909.00001195,114308.00000010002,Others
561,Sandwell,Children's Non-Fiction,57469.99998375,30771.000001080003,Others
562,Sandwell,Adult Talking Book,17890.999998479998,9789.00000066,Others
563,Sandwell,Children's Talking Book,2.99999997,1.99999998,Others
564,Sefton,Adult Fiction,339910.99990199995,64522.999999479995,Others
565,Sefton,Adult Non-Fiction,111582.00000072,43550.000009639996,Others
566,Sefton,Children's Fiction,108289.00000315999,23687.999999612,Others
567,Sefton,Children's Non-Fiction,21948.999998943997,7638.000001308,Others
568,Sefton,Adult Talking Book,25880.000000755997,5605.000001227999,Others
569,Sefton,Children's Talking Book,1454.0000001324,712.9999999559999,Others
570,Sefton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",10339.000000051998,4589.999999111999,Others
571,Sheffield,Adult Fiction,352701.00001639,164337.00000578997,Others
572,Sheffield,Adult Non-Fiction,167542.99997591,125436.00001978,Others
573,Sheffield,Children's Fiction,298340.99997279,142464.0000009,Others
574,Sheffield,Children's Non-Fiction,43966.000002614,55158.99999806,Others
575,Sheffield,Adult Talking Book,17907.000001567,8030.999999327,Others
576,Sheffield,Children's Talking Book,2192.0000001179,2600.9999997697996,Others
577,Sheffield,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",13378.999997195,23305.000000465,Others
578,Shropshire,Adult Fiction,390537.00001530006,96141.00000996,Others
579,Shropshire,Adult Non-Fiction,131038.99999236001,91337.99999688,Others
580,Shropshire,Children's Fiction,177358.00000221003,72903.0000006,Others
581,Shropshire,Children's Non-Fiction,25922.000000106,22007.000001222004,Others
582,Shropshire,Adult Talking Book,13166.000000172,5234.000001210001,Others
583,Shropshire,Children's Talking Book,2381.0000000661003,1786.9999998789003,Others
584,Shropshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",7424.999999109001,9640.00000071,Others
585,Slough,Adult Fiction,71250.0000056,31684.0000048,Others
586,Slough,Adult Non-Fiction,59069.00000105,26123.99999755,Others
587,Slough,Children's Fiction,269330.000069,61556.0000003,Others
588,Slough,Children's Non-Fiction,51896.999993150006,17134.9999977,Others
589,Slough,Adult Talking Book,2386.99999941,3254.999999875,Others
590,Slough,Children's Talking Book,227.999999994,326.0000000465,Others
591,Slough,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",237.0000000095,297.000000063,Others
592,Solihull,Adult Fiction,168044.00000484,73293.00000024,Others
593,Solihull,Adult Non-Fiction,57150.99999076001,45548.000000600005,Others
594,Solihull,Children's Fiction,166264.00000872,50693.00000136,Others
595,Solihull,Children's Non-Fiction,20539.999999480002,20926.99999984,Others
596,Solihull,Adult Talking Book,6587.00000034,8905.999999528001,Others
597,Solihull,Children's Talking Book,1852.9999999120002,1697.0000000940001,Others
598,Solihull,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",204.9999999592,2494.000000156,Others
599,Somerset,Adult Fiction,766633.9997898,148550.0000253,Others
600,Somerset,Adult Non-Fiction,323388.00002748,178538.00000334,Others
601,Somerset,Children's Fiction,622980.9998562001,116805.99999912,Others
602,Somerset,Children's Non-Fiction,77822.99999562,22571.999999844,Others
603,Somerset,Adult Talking Book,29947.000002612003,12046.999997304001,Others
604,Somerset,Children's Talking Book,6292.000000362001,1868.000000145,Others
605,Somerset,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",18585.999998412,10650.0000003,Others
606,South Gloucestershire,Adult Fiction,316695.99994720006,58510.999985890005,Others
607,South Gloucestershire,Adult Non-Fiction,121906.00000392001,37119.99998598001,Others
608,South Gloucestershire,Children's Fiction,373432.99999380007,55018.999991000004,Others
609,South Gloucestershire,Children's Non-Fiction,50737.00001286,11060.999998936,Others
610,South Gloucestershire,Adult Talking Book,12827.000000865,5608.000001163,Others
611,South Gloucestershire,Children's Talking Book,6989.999999108,2509.9999999546003,Others
612,South Gloucestershire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",15557.99999962,10651.000001097002,Others
613,South Tyneside,Adult Fiction,170238.000074,65594.9999985,Others
614,South Tyneside,Adult Non-Fiction,45763.0000052,50761.9999954,Others
615,South Tyneside,Children's Fiction,82463.0000028,77463.0,Others
616,South Tyneside,Children's Non-Fiction,13748.000000619999,21918.000002900004,Others
617,South Tyneside,Adult Talking Book,6898.000000710001,3970.00000023,Others
618,South Tyneside,Children's Talking Book,738.9999999849999,550.000000006,Others
619,Southampton,Adult Fiction,313536.0000825,70761.00001049999,Others
620,Southampton,Adult Non-Fiction,158040.00000024997,65685.00000975,Others
621,Southampton,Children's Fiction,293266.99991250003,48992.000006999995,Others
622,Southampton,Children's Non-Fiction,39446.0000055,11482.000000824999,Others
623,Southampton,Adult Talking Book,14610.999998824998,5578.000000274999,Others
624,Southampton,Children's Talking Book,2849.0000007999997,1183.0000000375,Others
625,Southampton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",5768.0000009,5695.9999996,Others
626,Southend-on-Sea,Adult Fiction,179272.00000196,57649.999991929995,Others
627,Southend-on-Sea,Adult Non-Fiction,72472.99999581999,90172.00000149,Others
628,Southend-on-Sea,Children's Fiction,133171.99999212,40046.99999373,Others
629,Southend-on-Sea,Children's Non-Fiction,16784.999999321,18198.00000044,Others
630,Southend-on-Sea,Adult Talking Book,7297.999999579,4807.000000864,Others
631,Southend-on-Sea,Children's Talking Book,631.9999999236001,539.0000000797,Others
632,Southend-on-Sea,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",2215.999999403,4168.99999997,Others
633,Southwark,Adult Fiction,323048.0001172,92790.99999688001,Comparitor authority
634,Southwark,Adult Non-Fiction,352761.99991199997,84447.00000004002,Outlier
635,Southwark,Children's Fiction,451572.0001452,91319.99998672,Comparitor authority
636,Southwark,Children's Non-Fiction,75654.99999096,24168.999999704003,Comparitor authority
637,Southwark,Adult Talking Book,12443.000001264001,8241.000001512,Comparitor authority
638,Southwark,Children's Talking Book,2565.0000000744,724.9999999912001,Comparitor authority
639,Southwark,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",34196.99998460001,27569.000000828,Comparitor authority
640,Staffordshire,Adult Fiction,856318.99999704,259069.00000464002,Others
641,Staffordshire,Adult Non-Fiction,224498.00001756,145958.99997347998,Others
642,Staffordshire,Children's Fiction,594850.9999748401,270981.99999816,Others
643,Staffordshire,Children's Non-Fiction,77569.999998144,60238.000003379995,Others
644,Staffordshire,Adult Talking Book,33588.999998496,17748.999997512,Others
645,Staffordshire,Children's Talking Book,8713.9999998372,6656.9999999904,Others
646,Staffordshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",12443.000000472,12994.99999968,Others
647,Stockport,Adult Fiction,358975.99995659996,74235.99998987999,Others
648,Stockport,Adult Non-Fiction,128348.99999118,50045.99998913999,Others
649,Stockport,Children's Fiction,255065.00001299995,49378.00001346,Others
650,Stockport,Children's Non-Fiction,39500.99998812,15647.000000867998,Others
651,Stockport,Adult Talking Book,10650.999998988,7767.000000575999,Others
652,Stockport,Children's Talking Book,263.00000007899996,496.00000008539996,Others
653,Stockport,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",6618.000000347999,1553.9999998877997,Others
654,Stockton-on-Tees,Adult Fiction,264219.00001310004,80049.99999924,Others
655,Stockton-on-Tees,Adult Non-Fiction,62884.99999088001,38174.99999615,Others
656,Stockton-on-Tees,Children's Fiction,116702.99999582,34354.99999837,Others
657,Stockton-on-Tees,Children's Non-Fiction,14593.999999421001,9752.999999342,Others
658,Stockton-on-Tees,Adult Talking Book,16795.99999904,6456.999999708,Others
659,Stockton-on-Tees,Children's Talking Book,419.0000000447001,595.0000000922,Others
660,Stockton-on-Tees,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",255.99999992560004,437.00000005180004,Others
661,Stoke-on-Trent,Adult Fiction,172507.00000808,73298.99999963999,Others
662,Stoke-on-Trent,Adult Non-Fiction,90352.00000619999,67255.00000007999,Others
663,Stoke-on-Trent,Children's Fiction,146362.9999894,49942.999994959995,Others
664,Stoke-on-Trent,Children's Non-Fiction,13822.000000447997,9430.000000295999,Others
665,Stoke-on-Trent,Adult Talking Book,13181.000000447997,6070.000000543999,Others
666,Stoke-on-Trent,Children's Talking Book,1519.9999998756,516.9999999419999,Others
667,Stoke-on-Trent,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",5346.000000164,12057.999999168,Others
668,Suffolk,Adult Fiction,1033126.0000884,215241.00003755998,Others
669,Suffolk,Adult Non-Fiction,380209.99996404,139767.99999048,Others
670,Suffolk,Children's Fiction,842214.9998069999,204917.99997797998,Others
671,Suffolk,Children's Non-Fiction,133922.99997486,53671.999999788,Others
672,Suffolk,Adult Talking Book,42899.999999868,11009.000003328,Others
673,Suffolk,Children's Talking Book,6827.999999733,1708.0000000415998,Others
674,Suffolk,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",39905.000001809996,34168.000000176,Others
675,Surrey,Adult Fiction,1722056.9998386,306089.0000235,Others
676,Surrey,Adult Non-Fiction,798688.99996832,310350.99997616,Others
677,Surrey,Children's Fiction,1813301.9994486,213763.99999922002,Others
678,Surrey,Children's Non-Fiction,297830.99994952,49579.000002766006,Others
679,Surrey,Adult Talking Book,26825.000004988004,16547.000005896,Others
680,Surrey,Children's Talking Book,21455.000005218,5609.000000183,Others
681,Surrey,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",26224.999996794002,35491.999998168,Others
682,Sutton,Adult Fiction,144481.99999969002,47611.00000446,Others
683,Sutton,Adult Non-Fiction,100029.99999968,44114.999996590006,Others
684,Sutton,Children's Fiction,318114.0000796,44472.00000107,Others
685,Sutton,Children's Non-Fiction,66627.00000969,16562.999999001,Others
686,Sutton,Adult Talking Book,2744.999999012,3089.00000074,Others
687,Sutton,Children's Talking Book,45.9999999624,94.00000003080001,Others
688,Sutton,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",461.99999993630007,154.999999963,Others
689,Swindon,Adult Fiction,195448.00000087998,42521.999996959996,Others
690,Swindon,Adult Non-Fiction,83940.99999384,34946.00000606,Others
691,Swindon,Children's Fiction,219368.0000061,37867.00001018,Others
692,Swindon,Children's Non-Fiction,33563.99999766,9858.999999177999,Others
693,Swindon,Adult Talking Book,9329.000000033999,1601.9999999784,Others
694,Swindon,Children's Talking Book,2453.9999999019997,991.000000089,Others
