,Authority,variable,Issues,Stock,legend
66,Brighton & Hove,Children's Non-Fiction,44509.00000301,18391.999998583997,Others
67,Brighton & Hove,Adult Talking Book,13443.999998598,7629.000000845,Others
68,Brighton & Hove,Children's Talking Book,2365.9999999711995,891.0000000343999,Others
69,Brighton & Hove,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",38302.999997479994,25999.000000404998,Others
70,Bristol,Adult Fiction,460103.00001176,114627.00000275999,Others
71,Bristol,Adult Non-Fiction,360938.999981,109441.99997892,Others
72,Bristol,Children's Fiction,583331.0002198,110104.00001201998,Others
73,Bristol,Children's Non-Fiction,71434.9999769,24807.000000216,Others
74,Bristol,Adult Talking Book,16326.000000702,14456.000001295999,Others
75,Bristol,Children's Talking Book,7546.000002128,3200.0000001283997,Others
76,Bristol,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",27634.999998717998,25829.000001854,Others
77,Bromley,Adult Fiction,370689.00003440003,77594.99999325,Comparitor authority
78,Bromley,Adult Non-Fiction,268789.99999569,83306.0000065,Comparitor authority
79,Bromley,Children's Fiction,558349.9999046001,75046.99998902,Comparitor authority
80,Bromley,Children's Non-Fiction,97763.00000936001,29429.000001194003,Comparitor authority
81,Bromley,Adult Talking Book,10240.000000922,7566.999998339,Comparitor authority
82,Bromley,Children's Talking Book,2220.0000001246003,1009.000000024,Comparitor authority
83,Bromley,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",10223.000001465001,11811.000000001,Comparitor authority
84,Buckinghamshire,Adult Fiction,564064.9999040001,98147.9999744,Others
85,Buckinghamshire,Adult Non-Fiction,187509.0000192,34183.99999776,Others
86,Buckinghamshire,Children's Fiction,575598.0000959999,105558.0000128,Others
87,Buckinghamshire,Children's Non-Fiction,143159.9999968,34049.99999744,Others
88,Buckinghamshire,Adult Talking Book,10360.99999872,6093.0000016,Others
89,Buckinghamshire,Children's Talking Book,2550.99999984,1466.999999744,Others
90,Buckinghamshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",14992.00000032,8433.00000256,Others
91,Bury,Adult Fiction,135231.9999984,47143.9999941,Others
92,Bury,Adult Non-Fiction,30788.0000043,17269.00000087,Others
93,Bury,Children's Fiction,64415.9999995,20645.9999928,Others
94,Bury,Children's Non-Fiction,10982.9999998,6151.999999279999,Others
95,Bury,Adult Talking Book,4535.0000005,5308.00000072,Others
96,Bury,Children's Talking Book,553.99999996,53.999999983,Others
97,Bury,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",2372.00000047,2177.00000016,Others
98,Calderdale,Adult Fiction,228029.99992200002,78922.9999926,Others
99,Calderdale,Adult Non-Fiction,93301.999992,68748.99999525,Others
100,Calderdale,Children's Fiction,141958.00000125,51803.9999973,Others
101,Calderdale,Children's Non-Fiction,21739.000004999998,13315.999999005,Others
102,Calderdale,Adult Talking Book,8800.99999911,5075.000000505,Others
103,Calderdale,Children's Talking Book,805.9999998960001,528.9999999795,Others
104,Calderdale,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",12048.000000615,7703.999998965,Others
105,Cambridgeshire,Adult Fiction,607899.000032,165637.99998735,Others
106,Cambridgeshire,Adult Non-Fiction,225566.00001685,143194.0000027,Others
107,Cambridgeshire,Children's Fiction,852978.0002535001,135058.0000245,Others
108,Cambridgeshire,Children's Non-Fiction,118763.00000490001,56747.000001525,Others
109,Cambridgeshire,Adult Talking Book,17921.999998495,13672.999996765,Others
110,Cambridgeshire,Children's Talking Book,11789.000000695001,5039.999999901001,Others
111,Cambridgeshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",14914.999998295,18134.999997905,Others
112,Camden,Adult Fiction,94892.000013,71820.999999,Others
113,Camden,Adult Non-Fiction,106932.999987,125703.000009,Others
114,Camden,Children's Fiction,91358.00000999999,50027.000004,Others
115,Camden,Children's Non-Fiction,19774.000000800002,22418.0000001,Others
116,Camden,Adult Talking Book,5435.9999990999995,4482.0,Others
117,Camden,Children's Talking Book,305.00000009999997,348.00000003,Others
118,Camden,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",5453.000001,20906.9999991,Others
119,Central Bedfordshire,Adult Fiction,308405.0001084,63842.99999532,Others
120,Central Bedfordshire,Adult Non-Fiction,108914.00000364002,40354.99999128,Others
121,Central Bedfordshire,Children's Fiction,339368.0000256,63930.99999390001,Others
122,Central Bedfordshire,Children's Non-Fiction,48759.00001440001,21393.000000918,Others
123,Central Bedfordshire,Adult Talking Book,12611.999999820002,4023.999999084,Others
124,Central Bedfordshire,Children's Talking Book,3244.999998864,954.9999999774002,Others
125,Central Bedfordshire,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",3229.0000004340004,3255.999999408,Others
126,Cheshire East,Adult Fiction,713397.9998454,121781.00001335998,Others
127,Cheshire East,Adult Non-Fiction,309977.0000073,105811.99998746,Others
128,Cheshire East,Children's Fiction,697886.0001486,114897.99999808,Others
129,Cheshire East,Children's Non-Fiction,101252.99999236,21181.999998912,Others
130,Cheshire East,Adult Talking Book,15539.000001097998,6400.000000046,Others
131,Cheshire East,Children's Talking Book,2554.0000001012,1073.0000001764,Others
132,Cheshire East,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",13243.000000510001,6275.999999451999,Others
133,Cheshire West & Chester,Adult Fiction,499271.99998880003,106244.99998291001,Others
134,Cheshire West & Chester,Adult Non-Fiction,219329.00001715,107268.00001502,Others
135,Cheshire West & Chester,Children's Fiction,469007.00008340005,104804.9999849,Others
136,Cheshire West & Chester,Children's Non-Fiction,60626.00001424001,20767.999999129,Others
137,Cheshire West & Chester,Adult Talking Book,16450.000000188,5800.999999441001,Others
138,Cheshire West & Chester,Children's Talking Book,706.0000001013001,387.0000001085,Others
139,Cheshire West & Chester,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",10478.9999996,8207.999998950001,Others
140,Coventry,Adult Fiction,238025.00001460002,111689.9999964,Others
141,Coventry,Adult Non-Fiction,101072.0000145,80637.00000525,Others
142,Coventry,Children's Fiction,272551.00000195,99165.99998364999,Others
143,Coventry,Children's Non-Fiction,37466.00001755,26651.000001455002,Others
144,Coventry,Adult Talking Book,11583.00000086,7495.99999901,Others
145,Coventry,Children's Talking Book,842.000000001,893.999999964,Others
146,Coventry,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",9688.99999955,14860.0,Others
147,Croydon,Adult Fiction,186884.00001159,98235.00000449999,Comparitor authority
148,Croydon,Adult Non-Fiction,127676.99998383,98737.99999083,Comparitor authority
149,Croydon,Children's Fiction,224720.9999901,85012.00000229999,Comparitor authority
150,Croydon,Children's Non-Fiction,38691.99998172,28775.000000955,Comparitor authority
151,Croydon,Adult Talking Book,5331.0000009509995,5787.99999984,Comparitor authority
152,Croydon,Children's Talking Book,1820.000000094,1468.9999998549001,Comparitor authority
153,Croydon,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",470.99999984159996,3002.0000001423,Comparitor authority
154,Cumbria,Adult Fiction,622409.0,163581.0,Others
155,Cumbria,Adult Non-Fiction,253117.0,208980.0,Others
156,Cumbria,Children's Fiction,239346.0,93331.0,Others
157,Cumbria,Children's Non-Fiction,48047.0,33298.0,Others
158,Cumbria,Adult Talking Book,22736.0,14930.0,Others
159,Cumbria,Children's Talking Book,2936.0,2668.0,Others
160,Cumbria,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",11297.0,18117.0,Others
161,Darlington,Adult Fiction,124470.9999468,21196.000002599998,Others
162,Darlington,Adult Non-Fiction,40223.00000135999,13334.00000364,Others
163,Darlington,Children's Fiction,73391.99999616,17902.99999548,Others
164,Darlington,Children's Non-Fiction,10786.00000392,4467.999999732,Others
165,Darlington,Adult Talking Book,6285.000000348,2161.00000032,Others
166,Darlington,Children's Talking Book,1431.99999996,821.9999999483999,Others
167,Darlington,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",1749.9999999719998,2481.999999516,Others
168,Devon,Adult Fiction,1079511.9998512,215404.99999352,Others
169,Devon,Adult Non-Fiction,312334.9999928,223306.00001728,Others
170,Devon,Children's Fiction,713918.9999871199,179087.000038,Others
171,Devon,Children's Non-Fiction,85651.99999768,33726.999996896004,Others
172,Devon,Adult Talking Book,41582.00000136,20239.000001824,Others
173,Devon,Children's Talking Book,18009.0000038,3897.9999997303994,Others
174,Devon,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",43543.99999616,37050.000003368,Others
175,Dorset,Adult Fiction,534231.999873,161530.00000355,Others
176,Dorset,Adult Non-Fiction,196466.0000022,106358.0000015,Others
177,Dorset,Children's Fiction,265184.00001714996,86326.9999887,Others
178,Dorset,Children's Non-Fiction,39650.00001255,23248.999999195,Others
179,Dorset,Adult Talking Book,29477.000001739998,12832.999998234998,Others
180,Dorset,Children's Talking Book,3588.999999811,2988.0000000155,Others
181,Dorset,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",8856.9999997,11965.99999894,Others
182,Dudley,Adult Fiction,394061.9999424,115804.00000752001,Others
183,Dudley,Adult Non-Fiction,162737.000016,87605.99999424,Others
184,Dudley,Children's Fiction,254441.00000592004,122058.00000336001,Others
185,Dudley,Children's Non-Fiction,39488.00001552,101652.00001536001,Others
186,Dudley,Adult Talking Book,29693.000000160002,13934.000000688002,Others
187,Dudley,Children's Talking Book,2808.0000001344,1576.9999999440001,Others
188,Dudley,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",20100.0,20698.000001184,Others
189,Durham,Adult Fiction,849438.0000666,130674.99998124,Others
190,Durham,Adult Non-Fiction,226437.9999813,53280.00002079001,Others
191,Durham,Children's Fiction,412404.00001272,74718.99997704,Others
192,Durham,Children's Non-Fiction,57924.999998549996,17528.999997978,Others
193,Durham,Adult Talking Book,49342.000000284,8784.999999684,Others
194,Durham,Children's Talking Book,1812.0000001077,573.9999998462999,Others
195,Durham,"Music, Videos and DVDs; Multi-media and Open Learning Packs; CD-ROMs and Software",187.000000263,51.9999999399,Others
196,Ealing,Adult Fiction,133522.00001434,88960.00001594001,Comparitor authority
197,Ealing,Adult Non-Fiction,127470.00000454001,88511.99998736,Comparitor authority
198,Ealing,Children's Fiction,256819.99998558,78070.0000068,Comparitor authority
